,msa,base,action_x,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_cont,direct,indirect,total,ea_emp,ch_as_perc,13
319,"Meridian, MS Micropolitan Statistical Area",Key Field Air Guard Station,Key Field Air Guard Station,Realign,(33),(142),0,0,(33),(142),0,(175),(163),(338),"54,548",-0.6%
320,,Naval Air Station Meridian,Naval Air Station Meridian,Realign,(15),0,0,0,(15),0,(1),(16),(13),(29),"54,548",-0.1%
321,"Miami-Miami Beach-Kendall, FL Metropolitan Division",Homestead Air Reserve Station,Homestead Air Reserve Station,Gain,0,(12),0,83,0,71,0,71,70,141,"1,293,315",0.0%
322,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",Gen Mitchell International Airport ARS,Gen Mitchell International Airport ARS,Close,(44),(302),24,56,(20),(246),0,(266),(214),(480),"986,431",0.0%
323,,Fort Snelling,Fort Snelling,Realign,(130),(124),0,0,(130),(124),0,(254),(155),(409),"2,127,894",0.0%
324,"Mobile, AL Metropolitan Statistical Area",Armed Forces Reserve Center Mobile,Armed Forces Reserve Center Mobile,Close,(27),0,22,0,(5),0,0,(5),(2),(7),"213,966",0.0%
325,,Fort Ganey Army National Guard Reserve Center Mobile,Fort Ganey Army National Guard Reserve Center Mobile,Close,(13),0,0,0,(13),0,0,(13),(5),(18),"213,966",0.0%
326,,Wright U.S. Army Reserve Center,Wright U.S. Army Reserve Center,Close,(8),(1),0,0,(8),(1),0,(9),(4),(13),"213,966",0.0%
327,"Modesto, CA Metropolitan Statistical Area",Riverbank Army Ammunition Plant,Riverbank Army Ammunition Plant,Close,0,(4),0,0,0,(4),(85),(89),(17),(106),"217,388",0.0%
328,,Fort McCoy,Fort McCoy,Realign,(379),(82),97,133,(282),51,0,(231),(133),(364),"23,884",-1.5%
329,"Montgomery, AL Metropolitan Statistical Area",BG William P. Screws U.S. Army Reserve Center Montgomery,BG William P. Screws U.S. Army Reserve Center Montgomery,Close,(15),(3),0,0,(15),(3),0,(18),(12),(30),"207,595",0.0%
330,,Navy Recruiting District Headquarters Montgomery,Navy Recruiting District Headquarters Montgomery,Close,(31),(5),0,0,(31),(5),(5),(41),(27),(68),"207,595",0.0%
331,,"The Adjutant General Bldg, AL","The Adjutant General Bldg, AL",Close,(85),0,0,0,(85),0,0,(85),(56),(141),"207,595",-0.1%
332,,"85) 0 0 0 (85) 0 0 (85) (56) (141) 207,595 -0.1% Army National Guard Montgomery Dannelly Field Air Guard Station", Army National Guard Montgomery Dannelly Field Air Guard Station,Gain,0,0,18,42,18,42,0,60,45,105,"207,595",0.1%
333,,Maxwell Air Force Base,Maxwell Air Force Base,Realign,(740),(511),0,0,(740),(511),0,"(1,251)",(894),"(2,145)","207,595",-1.0%
334,"Mountain Home, ID Micropolitan Statistical Area",Mountain Home Air Force Base,Mountain Home Air Force Base,Realign,"(1,235)",(54),697,23,(538),(31),0,(569),(329),(898),"14,441",-6.2%
335,"Muskogee, OK Micropolitan Statistical Area",Armed Forces Reserve Center Muskogee,Armed Forces Reserve Center Muskogee,Close,(14),(2),0,0,(14),(2),0,(16),(9),(25),"40,416",-0.1%
336,"Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area",Leased Space - TN,Leased Space - TN,Close/Realign,0,(6),0,0,0,(6),0,(6),(4),(10),"919,365",0.0%
337,,Nashville International Airport Air Guard Station,Nashville International Airport Air Guard Station,Realign,(19),(172),0,0,(19),(172),0,(191),(137),(328),"919,365",0.0%
338,"Nassau-Suffolk, NY Metropolitan Division",Armed Forces Reserve Center,Armed Forces Reserve Center,Close,(24),(4),0,0,(24),(4),0,(28),(8),(36),"1,530,568",0.0%
339,"New Bern, NC Micropolitan Statistical Area",Marine Corps Air Station Cherry Point,Marine Corps Air Station Cherry Point,Realign,(16),(664),64,8,48,(656),(20),(628),(558),"(1,186)","66,366",-1.8%
340,"New Haven-Milford, CT Metropolitan Statistical Area","SGT Libby U.S. Army Reserve Center, New Haven","SGT Libby U.S. Army Reserve Center, New Haven",Close,(14),(7),0,0,(14),(7),0,(21),(12),(33),"472,774",0.0%
341,"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area",Naval Support Activity New Orleans,Naval Support Activity New Orleans,Close,"(1,997)",(652),0,0,"(1,997)",(652),(62),"(2,711)","(2,016)","(4,727)","763,801",-0.6%
342,,Leased Space - Slidell,Leased Space - Slidell,Close/Realign,(1),(102),0,0,(1),(102),(48),(151),(144),(295),"763,801",0.0%
343,,Naval Air Station New Orleans,Naval Air Station New Orleans,Gain,0,0,"1,407",446,"1,407",446,3,"1,856","1,372","3,228","763,801",0.4%
344,,Naval Air Station New Orleans Air Reserve Station,Naval Air Station New Orleans Air Reserve Station,Realign,(4),(308),45,76,41,(232),0,(191),(207),(398),"763,801",-0.1%
345,,Fort Totten / Pyle,Fort Totten / Pyle,Realign,(75),(74),0,0,(75),(74),0,(149),(72),(221),"6,226,027",0.0%
346,,Picatinny Arsenal,Picatinny Arsenal,Gain,0,0,5,688,5,688,0,693,566,"1,259","1,246,371",0.1%
347,"Norwich-New London, CT Metropolitan Statistical Area",Submarine Base New London,Submarine Base New London,Close,"(7,096)",(952),0,0,"(7,096)",(952),(412),"(8,460)","(7,353)","(15,813)","168,620",-9.4%
348,"Oak Harbor, WA Micropolitan Statistical Area",Naval Air Station Whidbey Island,Naval Air Station Whidbey Island,Gain,(34),0,0,173,(34),173,0,139,162,301,"35,843",0.8%
349,," (50) 0 0 0 (50) 0 (50) (40) (90) 1,383,332 0.0% Service, Oakland Camp Parks (91st)"," Service, Oakland Camp Parks (91st)",Realign,(25),(18),0,0,(25),(18),0,(43),(26),(69),"1,383,332",0.0%
350,"Ogden-Clearfield, UT Metropolitan Statistical Area",Hill Air Force Base,Hill Air Force Base,Realign,(13),(447),291,24,278,(423),0,(145),(164),(309),"239,699",-0.1%
351,"Oklahoma City, OK Metropolitan Statistical Area",Krowse U.S. Army Reserve Center Oklahoma City,Krowse U.S. Army Reserve Center Oklahoma City,Close,(78),(6),0,0,(78),(6),0,(84),(78),(162),"703,918",0.0%
352,,Oklahoma City (95th),Oklahoma City (95th),Close,(31),(22),0,0,(31),(22),0,(53),(55),(108),"703,918",0.0%
353,,Tinker Air Force Base,Tinker Air Force Base,Gain,(9),(197),9,552,0,355,0,355,450,805,"703,918",0.1%
354,,Will Rogers World Airport Air Guard Station,Will Rogers World Airport Air Guard Station,Realign,(19),(145),103,46,84,(99),0,(15),(49),(64),"703,918",0.0%
355,,Naval Recruiting District Headquarters Omaha,Naval Recruiting District Headquarters Omaha,Close,(19),(7),0,0,(19),(7),(6),(32),(28),(60),"538,121",0.0%
356,,Offutt Air Force Base,Offutt Air Force Base,Realign,0,(227),54,69,54,(158),0,(104),(130),(234),"538,121",0.0%
357,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",Channel Islands Air Guard Station,Channel Islands Air Guard Station,Gain,0,0,4,15,4,15,0,19,23,42,"420,712",0.0%
358,,Naval Base Ventura City,Naval Base Ventura City,Realign,(244),"(2,149)",5,854,(239),"(1,295)",0,"(1,534)","(1,905)","(3,439)","420,712",-0.8%
359,,Army National Guard Reserve Center Paducah,Army National Guard Reserve Center Paducah,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"61,551",-0.1%
360,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",Patrick Air Force Base,Patrick Air Force Base,Realign,(136),(59),0,0,(136),(59),0,(195),(165),(360),"247,994",-0.1%
361,"Panama City-Lynn Haven, FL Metropolitan Statistical Area",Naval Support Activity Panama City,Naval Support Activity Panama City,Realign,(12),(12),0,0,(12),(12),0,(24),(24),(48),"86,688",-0.1%
362,,Tyndall Air Force Base,Tyndall Air Force Base,Realign,(48),(19),11,0,(37),(19),0,(56),(57),(113),"86,688",-0.1%
363,"Parsons, KS Micropolitan Statistical Area",Kansas Army Ammunition Plant,Kansas Army Ammunition Plant,Close,0,(8),0,0,0,(8),(159),(167),(109),(276),"15,144",-1.8%
364,"Pascagoula, MS Metropolitan Statistical Area",Naval Station Pascagoula,Naval Station Pascagoula,Close,(844),(112),0,0,(844),(112),(7),(963),(798),"(1,761)","68,520",-2.6%
365,"Pendleton-Hermiston, OR Micropolitan Statistical Area",Umatilla Army Depot,Umatilla Army Depot,Close,(127),(385),0,0,(127),(385),0,(512),(372),(884),"44,887",-2.0%
366,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",Naval Air Station Pensacola,Naval Air Station Pensacola,Realign,(857),"(1,304)",555,124,(302),"(1,180)",(97),"(1,579)","(2,521)","(4,100)","210,512",-1.9%
367,"Peoria, IL Metropolitan Statistical Area",Greater Peoria Regio,Greater Peoria Regio,Gain,0,0,13,21,13,21,0,34,23,57,"217,455",0.0%
368,"Peru, IN Micropolitan Statistical Area",Navy Marine Corps Reserve,Navy Marine Corps Reserve,Close,(7),0,0,0,(7),0,0,(7),(1),(8),"14,974",-0.1%
369,"Philadelphia, PA Metropolitan Division",Bristol,Bristol,Close,(9),(2),0,0,(9),(2),0,(11),(5),(16),"2,273,372",0.0%
370,,Engineering Field Activity,Engineering Field Activity,Close,(4),(188),0,0,(4),(188),0,(192),(155),(347),"2,273,372",0.0%
371,,"4) (188) 0 0 (4) (188) 0 (192) (155) (347) 2,273,372 0.0% Northeast Naval Air Station Willow Grove", Northeast Naval Air Station Willow Grove,Close,(865),(362),0,0,(865),(362),(5),"(1,232)",(698),"(1,930)","2,273,372",-0.1%
372,,Navy Crane Center Lester,Navy Crane Center Lester,Close,(1),(54),0,0,(1),(54),0,(55),(44),(99),"2,273,372",0.0%
373,,"North Penn U.S. Army Reserve Center, Norristown","North Penn U.S. Army Reserve Center, Norristown",Close,(22),(1),0,0,(22),(1),0,(23),(10),(33),"2,273,372",0.0%
374,,"W. Reese U.S. Army Reserve Center/OMS, Chester","W. Reese U.S. Army Reserve Center/OMS, Chester",Close,(9),(1),0,0,(9),(1),0,(10),(4),(14),"2,273,372",0.0%
375,,Naval Support Activity Philadelphia,Naval Support Activity Philadelphia,Gain,0,(10),0,301,0,291,0,291,237,528,"2,273,372",0.0%
376,,Human Resources Support Center Northeast,Human Resources Support Center Northeast,Realign,0,(174),0,0,0,(174),(9),(183),(148),(331),"2,273,372",0.0%
377,,Navy Philadelphia Business Center,Navy Philadelphia Business Center,Realign,0,(63),0,0,0,(63),0,(63),(51),(114),"2,273,372",0.0%
378,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","Air Force Research Lab, Mesa City","Air Force Research Lab, Mesa City",Close,(42),(46),0,0,(42),(46),0,(88),(82),(170),"1,971,119",0.0%
379,,Leased Space - AZ,Leased Space - AZ,Close/Realign,0,(1),0,0,0,(1),0,(1),(1),(2),"1,971,119",0.0%
380,,Phoenix Sky Harbor I,Phoenix Sky Harbor I,Gain,0,0,10,29,10,29,0,39,39,78,"1,971,119",0.0%
381,,Luke Air Force Base,Luke Air Force Base,Realign,(101),(177),0,0,(101),(177),0,(278),(273),(551),"1,971,119",0.0%
382,"Picayune, MS Micropolitan Statistical Area",Mississippi Army Ammunition Plant,Mississippi Army Ammunition Plant,Close,0,(4),0,0,0,(4),(50),(54),(35),(89),"16,286",-0.5%
383,"Pine Bluff, AR Metropolitan Statistical Area","Stone U.S. Army Reserve Center, Pine Bluff","Stone U.S. Army Reserve Center, Pine Bluff",Close,(30),(4),0,0,(30),(4),0,(34),(13),(47),"49,184",-0.1%
384,"Pittsburgh, PA Metropolitan Statistical Area",Kelly Support Center,Kelly Support Center,Close,(174),(136),0,0,(174),(136),0,(310),(183),(493),"1,403,312",0.0%
385,,Pittsburgh International Airport Air Reserve Station,Pittsburgh International Airport Air Reserve Station,Close,(44),(278),0,0,(44),(278),0,(322),(258),(580),"1,403,312",0.0%
386,,Navy-Marine Corps Reserve Center Pittsburgh,Navy-Marine Corps Reserve Center Pittsburgh,Gain,0,0,7,0,7,0,0,7,2,9,"1,403,312",0.0%
387,,"Pitt U.S. Army Reserve Center, Corapolis","Pitt U.S. Army Reserve Center, Corapolis",Realign,(119),(101),0,0,(119),(101),0,(220),(132),(352),"1,403,312",0.0%
388,"Pocatello, ID Metropolitan Statistical Area",Navy Reserve Center Pocatello,Navy Reserve Center Pocatello,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"47,266",0.0%
389,,Naval Shipyard Portsmouth,Naval Shipyard Portsmouth,Close,(201),"(4,032)",0,0,(201),"(4,032)",(277),"(4,510)","(4,656)","(9,166)","331,655",-2.8%
390,,Naval Air Station Brunswick,Naval Air Station Brunswick,Realign,"(2,317)",(61),0,0,"(2,317)",(61),(42),"(2,420)","(1,846)","(4,266)","331,655",-1.3%
391,,Vancover Barracks,Vancover Barracks,Close,(29),(16),0,0,(29),(16),0,(45),(27),(72),"1,232,839",0.0%
392,,Portland International Airport Air Guard Station,Portland International Airport Air Guard Station,Realign,(112),(452),0,0,(112),(452),0,(564),(453),"(1,017)","1,232,839",-0.1%
393,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area","Carpenter U.S. Army Reserve Center,Poughkeepie","Carpenter U.S. Army Reserve Center,Poughkeepie",Close,(8),(1),0,0,(8),(1),0,(9),(5),(14),"312,628",0.0%
394,,United States Military Academy,United States Military Academy,Gain,0,0,226,38,226,38,0,264,158,422,"312,628",0.1%
395,,Harwood U.S. Army Reserve,Harwood U.S. Army Reserve,Close,(20),(4),0,0,(20),(4),0,(24),(30),(54),"864,734",0.0%
396,,"20) (4) 0 0 (20) (4) 0 (24) (30) (54) 864,734 0.0% Center, Providence USARC Bristol"," Center, Providence USARC Bristol",Close,(24),0,0,0,(24),0,0,(24),(28),(52),"864,734",0.0%
397,,Naval Station Newport,Naval Station Newport,Gain,(122),(225),647,309,525,84,(76),533,654,"1,187","864,734",0.1%
398,,Quonset State Airport Air Guard Station,Quonset State Airport Air Guard Station,Gain,0,0,17,29,17,29,0,46,67,113,"864,734",0.0%
399,"Rapid City, SD Metropolitan Statistical Area",Ellsworth Air Force Base,Ellsworth Air Force Base,Close,"(3,315)",(438),0,0,"(3,315)",(438),(99),"(3,852)","(2,915)","(6,767)","79,970",-8.5%
400,"Reading, PA Metropolitan Statistical Area",Navy-Marine Corps Reserve Center Reading,Navy-Marine Corps Reserve Center Reading,Close,(18),0,0,0,(18),0,0,(18),(6),(24),"213,550",0.0%
401,"Reno-Sparks, NV Metropolitan Statistical Area",Hawthorne Army Depot,Hawthorne Army Depot,Close,(74),(45),0,0,(74),(45),(80),(199),(126),(325),"243,270",-0.1%
402,,Reno-Tahoe International Airport Air Guard Station,Reno-Tahoe International Airport Air Guard Station,Realign,(23),(124),0,0,(23),(124),0,(147),(115),(262),"243,270",-0.1%
403,"Richmond, VA Metropolitan Statistical Area",Leased Space - VA,Leased Space - VA,Close/Realign,0,(215),0,0,0,(215),0,(215),(166),(381),"715,302",-0.1%
404,"Richmond, VA Metropolitan Statistical Area",Leased Space - VA,Leased Space - VA,Close/Realign,"(6,199)","(15,539)",0,0,"(6,199)","(15,539)",(972),"(22,710)","(16,291)","(39,001)","2,771,791",-1.4%
405,,Defense Supply Center Richmond,Defense Supply Center Richmond,Gain,0,(77),0,83,0,6,0,6,4,10,"715,302",0.0%
406,,Fort Lee,Fort Lee,Gain,(392),(2),"6,531","1,151","6,139","1,149",56,"7,344","4,425","11,769","715,302",1.6%
407,,Richmond International Airport Air Guard Station,Richmond International Airport Air Guard Station,Realign,(25),(101),0,0,(25),(101),0,(126),(92),(218),"715,302",0.0%
408,," (120) 0 0 0 (120) 0 (120) (121) (241) 1,479,524 0.0% Service, San Bernardino Naval Support Activity Corona"," Service, San Bernardino Naval Support Activity Corona",Close,(6),(886),0,0,(6),(886),0,(892),(904),"(1,796)","1,479,524",-0.1%
409,,March Air Reserve Base,March Air Reserve Base,Realign,(71),(44),0,4,(71),(40),0,(111),(90),(201),"1,479,524",0.0%
410,,Marine Corps Logistics Base Barstow,Marine Corps Logistics Base Barstow,Realign,(140),(330),0,0,(140),(330),51,(419),(396),(815),"1,479,524",-0.1%
411,"Rockingham County-Strafford County, NH Metropolitan Division",Doble U.S. Army Reserve Center Portsmouth,Doble U.S. Army Reserve Center Portsmouth,Close,(39),(5),0,0,(39),(5),0,(44),(29),(73),"238,671",0.0%
412,,Armed Forces Reserve Center Pease Air Force Base,Armed Forces Reserve Center Pease Air Force Base,Gain,0,0,20,28,20,28,0,48,40,88,"238,671",0.0%
413,"Rome, GA Metropolitan Statistical Area",Inspector/Instructor Rome GA,Inspector/Instructor Rome GA,Close,(9),0,0,0,(9),0,0,(9),(3),(12),"50,944",0.0%
414,"Salinas, CA Metropolitan Statistical Area","Defense Finance and Accounting Service, Seaside","Defense Finance and Accounting Service, Seaside",Close,(10),(51),0,0,(10),(51),0,(61),(61),(122),"235,299",-0.1%
415,,Fort Hunter Liggett,Fort Hunter Liggett,Gain,0,0,25,18,25,18,0,43,41,84,"235,299",0.0%
416,"Salt Lake City, UT Metropolitan Statistical Area",Deseret Chemical Depot,Deseret Chemical Depot,Close,(186),(62),0,0,(186),(62),0,(248),(143),(391),"701,532",-0.1%
417,,Fort Douglas,Fort Douglas,Realign,(15),(38),0,0,(15),(38),0,(53),(41),(94),"701,532",0.0%
418,,"106) 0 0 0 (106) 0 0 (106) (89) (195) 1,009,217 0.0% Center New Braunfels Brooks City Base", Center New Braunfels Brooks City Base,Close,"(1,297)","(1,268)",0,0,"(1,297)","(1,268)",(358),"(2,923)","(2,801)","(5,724)","1,009,217",-0.6%
419,,"Defense Finance and Accounting Service, San Antonio","Defense Finance and Accounting Service, San Antonio",Close,(32),(303),0,0,(32),(303),0,(335),(367),(702),"1,009,217",-0.1%
420,,Leased Space - TX,Leased Space - TX,Close/Realign,(78),(147),0,0,(78),(147),0,(225),(230),(455),"1,009,217",0.0%
421,,Fort Sam Houston,Fort Sam Houston,Gain,(117),0,"7,765","1,624","7,648","1,624",92,"9,364","8,324","17,688","1,009,217",1.8%
422,,Randolph Air Force Base,Randolph Air Force Base,Gain,(576),(174),164,705,(412),531,63,182,300,482,"1,009,217",0.0%
423,,Lackland Air Force Base,Lackland Air Force Base,Realign,"(2,489)","(1,223)",235,453,"(2,254)",(770),(116),"(3,140)","(2,755)","(5,895)","1,009,217",-0.6%
424,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Defense Finance and Accounting Service, San Diego","Defense Finance and Accounting Service, San Diego",Close,(3),(237),0,0,(3),(237),0,(240),(256),(496),"1,806,321",0.0%
425,,Marine Corps Base Miramar,Marine Corps Base Miramar,Gain,(46),(3),87,34,41,31,0,72,70,142,"1,806,321",0.0%
426,,Naval Base Point Loma,Naval Base Point Loma,Gain,(12),(341),312,350,300,9,0,309,279,588,"1,806,321",0.0%
427,,Naval Station San Diego,Naval Station San Diego,Gain,(1),(2),"1,085",86,"1,084",84,2,"1,170","1,066","2,236","1,806,321",0.1%
428,,Human Resources Support Center Southwest,Human Resources Support Center Southwest,Realign,0,(164),0,0,0,(164),0,(164),(175),(339),"1,806,321",0.0%
429,,Marine Corps Base Camp Pendleton,Marine Corps Base Camp Pendleton,Realign,(145),(6),0,7,(145),1,0,(144),(129),(273),"1,806,321",0.0%
430,,Naval Base Coronado,Naval Base Coronado,Realign,(71),(587),0,198,(71),(389),0,(460),(481),(941),"1,806,321",-0.1%
431,,Naval Medical Center San Diego,Naval Medical Center San Diego,Realign,"(1,596)",(33),0,0,"(1,596)",(33),(1),"(1,630)","(1,470)","(3,100)","1,806,321",-0.2%
432,,Naval Weapons Station Fallbrook,Naval Weapons Station Fallbrook,Realign,0,(118),0,0,0,(118),0,(118),(126),(244),"1,806,321",0.0%
433,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Onizuka Air Force Station,Onizuka Air Force Station,Close,(107),(171),0,0,(107),(171),0,(278),(114),(392),"1,187,969",0.0%
434,,AFRC Moffett Field,AFRC Moffett Field,Gain,0,0,87,166,87,166,0,253,106,359,"1,187,969",0.0%
435,,Lavergne U.S. Army Reserve Center Bayamon,Lavergne U.S. Army Reserve Center Bayamon,Close,(25),(1),0,0,(25),(1),0,(26),(18),(44),"850,261",0.0%
436,,"Camp Euripides Rubio, Puerto Nuevo","Camp Euripides Rubio, Puerto Nuevo",Realign,(43),0,0,0,(43),0,0,(43),(29),(72),"850,261",0.0%
437,,Fort Buchanan,Fort Buchanan,Realign,(9),(47),0,0,(9),(47),0,(56),(54),(110),"850,261",0.0%
438,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",Naval Weapons Station Seal Beach Det Concord,Naval Weapons Station Seal Beach Det Concord,Close,0,(71),0,0,0,(71),0,(71),(57),(128),"1,901,499",0.0%
439,,Los Alamitos (63rd),Los Alamitos (63rd),Realign,(92),(78),0,0,(92),(78),0,(170),(99),(269),"1,901,499",0.0%
440,"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",Vandenburg Air Force Base,Vandenburg Air Force Base,Gain,0,0,44,101,44,101,0,145,114,259,"254,600",0.1%
441,"Savannah, GA Metropolitan Statistical Area",Savannah International Airport Air Guard Station,Savannah International Airport Air Guard Station,Gain,0,0,17,21,17,21,0,38,38,76,"174,403",0.0%
442,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",Serrenti U.S. Army Reserve,Serrenti U.S. Army Reserve,Close,(47),(8),0,0,(47),(8),0,(55),(21),(76),"306,854",0.0%
443,,"47) (8) 0 0 (47) (8) 0 (55) (21) (76) 306,854 0.0% Center, Scranton Tobyhanna Army Depot"," Center, Scranton Tobyhanna Army Depot",Gain,(1),(82),3,355,2,273,0,275,192,467,"306,854",0.2%
444,"Seattle-Bellevue-Everett, WA Metropolitan Division",Army National Guard Reserve Center Everett,Army National Guard Reserve Center Everett,Close,(57),0,0,0,(57),0,0,(57),(32),(89),"1,690,448",0.0%
445,,U.S. Army Reserve Center Fort Lawton,U.S. Army Reserve Center Fort Lawton,Close,(53),(54),0,0,(53),(54),0,(107),(76),(183),"1,690,448",0.0%
446,"Shreveport-Bossier City, LA Metropolitan Statistical Area",Barksdale Air Force Base,Barksdale Air Force Base,Gain,0,0,5,60,5,60,0,65,70,135,"211,384",0.1%
447,"Sierra Vista-Douglas, AZ Micropolitan Statistical Area",Fort Huachuca,Fort Huachuca,Realign,0,(212),0,44,0,(168),1,(167),(125),(292),"51,749",-0.6%
448,,Navy Reserve Center Sioux City,Navy Reserve Center Sioux City,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"93,206",0.0%
449,,Sioux Gateway Airport Air Guard,Sioux Gateway Airport Air Guard,Gain,0,0,33,170,33,170,0,203,155,358,"93,206",0.4%
450,"Sioux Falls, SD Metropolitan Statistical Area",Joe Foss Field Air Guard Station,Joe Foss Field Air Guard Station,Gain,(4),0,32,27,28,27,0,55,35,90,"149,410",0.1%
451,,1LT Richard H. Walker U.S. Army,1LT Richard H. Walker U.S. Army,Close,(38),0,0,0,(38),0,0,(38),(32),(70),"249,887",0.0%
452,,"38) 0 0 0 (38) 0 0 (38) (32) (70) 249,887 0.0% Reserve Center Fairchild Air Force Base", Reserve Center Fairchild Air Force Base,Realign,(26),(172),0,0,(26),(172),0,(198),(215),(413),"249,887",-0.2%
453,"Springfield, IL Metropolitan Statistical Area",Capital Airport Air Guard Station,Capital Airport Air Guard Station,Realign,(52),(133),22,0,(30),(133),0,(163),(105),(268),"139,247",-0.2%
454,"Springfield, MA Metropolitan Statistical Area","Westover U.S. Army Reserve Center, Cicopee","Westover U.S. Army Reserve Center, Cicopee",Close,(13),0,0,0,(13),0,0,(13),(5),(18),"374,117",0.0%
455,,Barnes Municipal Airport Air Guard Station,Barnes Municipal Airport Air Guard Station,Gain,0,(5),23,89,23,84,0,107,86,193,"374,117",0.1%
456,,Westover Air Force Base,Westover Air Force Base,Gain,0,0,69,11,69,11,0,80,41,121,"374,117",0.0%
457,"Springfield, OH Metropolitan Statistical Area",Springfield-Beckley Municipal Airport Air Guard Station,Springfield-Beckley Municipal Airport Air Guard Station,Realign,(66),(225),0,0,(66),(225),0,(291),(149),(440),"67,753",-0.6%
458,,Rosecrans Memorial Airport Air Guard Station,Rosecrans Memorial Airport Air Guard Station,Gain,0,0,8,27,8,27,0,35,23,58,"68,849",0.1%
459,,"Defense Finance and Accounting Service, St. Louis","Defense Finance and Accounting Service, St. Louis",Close,(2),(291),0,0,(2),(291),0,(293),(318),(611),"1,668,793",0.0%
460,,Leased Space - MO,Leased Space - MO,Close/Realign,(709),"(1,234)",0,0,(709),"(1,234)",(150),"(2,093)","(2,078)","(4,171)","1,668,793",-0.2%
461,,Scott Air Force Base,Scott Air Force Base,Gain,(252),0,131,832,(121),832,86,797,900,"1,697","1,668,793",0.1%
462,,Lambert International Airport- St Louis,Lambert International Airport- St Louis,Realign,(34),(215),0,0,(34),(215),0,(249),(261),(510),"1,668,793",0.0%
463,"St. Marys, GA Micropolitan Statistical Area",Submarine Base Kings Bay,Submarine Base Kings Bay,Gain,0,0,"3,245",102,"3,245",102,20,"3,367","1,667","5,034","23,025",21.9%
464,,Bethesda/Chevy Chase,Bethesda/Chevy Chase,Realign,(5),(2),0,0,(5),(2),0,(7),(4),(11),"1,628",-0.7%
465,"Stockton, CA Metropolitan Statistical Area",Defense Distribution Depot San Joaquin,Defense Distribution Depot San Joaquin,Realign,0,(31),0,0,0,(31),0,(31),(20),(51),"269,709",0.0%
466,"Sumter, SC Metropolitan Statistical Area",Shaw Air Force Base,Shaw Air Force Base,Gain,(74),(1),816,76,742,75,0,817,604,"1,421","54,168",2.6%
467,,"20) 0 0 0 (20) 0 0 (20) (15) (35) 339,431 0.0% Center Tacoma Fort Lewis", Center Tacoma Fort Lewis,Gain,(2),(1),187,46,185,45,0,230,187,417,"339,431",0.1%
468,,McChord Air Force Base,McChord Air Force Base,Realign,(460),(143),36,7,(424),(136),(7),(567),(469),"(1,036)","339,431",-0.3%
469,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",Navy Reserve Center ST Petersburg,Navy Reserve Center ST Petersburg,Close,(12),0,0,0,(12),0,0,(12),(10),(22),"1,485,074",0.0%
470,,MacDill Air Force Base,MacDill Air Force Base,Gain,(292),0,162,231,(130),231,0,101,152,253,"1,485,074",0.0%
471,"Terre Haute, IN Metropolitan Statistical Area",Newport Chemical Depot,Newport Chemical Depot,Close,(210),(81),0,0,(210),(81),(280),(571),(267),(838),"89,765",-0.9%
472,,Hulman Regional Airport Air Guard Station,Hulman Regional Airport Air Guard Station,Realign,(12),(124),0,0,(12),(124),0,(136),(95),(231),"89,765",-0.3%
473,"Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",Lone Star Army Ammunition Plant,Lone Star Army Ammunition Plant,Close,(2),(18),0,0,(2),(18),(129),(149),(80),(229),"67,895",-0.3%
474,,Red River Army Depot,Red River Army Depot,Close,(9),"(2,491)",0,0,(9),"(2,491)",0,"(2,500)","(1,676)","(4,176)","67,895",-6.2%
475,"Toledo, OH Metropolitan Statistical Area",Toledo Express Airport Air Guard Station,Toledo Express Airport Air Guard Station,Gain,0,0,14,112,14,112,0,126,90,216,"403,161",0.1%
476,"Topeka, KS Metropolitan Statistical Area",Forbes Field Air Guard Station,Forbes Field Air Guard Station,Gain,0,0,53,194,53,194,0,247,169,416,"144,675",0.3%
477,"Trenton-Ewing, NJ Metropolitan Statistical Area",Inspector/Instructor Center West,Inspector/Instructor Center West,Close,(11),(1),0,0,(11),(1),0,(12),(4),(16),"249,721",0.0%
478,"Troy, AL Micropolitan Statistical Area",Anderson U.S. Army Reserve Center Troy,Anderson U.S. Army Reserve Center Troy,Close,(15),0,0,0,(15),0,0,(15),(8),(23),"15,306",-0.2%
